Voltage,ADC Buffer Value,Time
2.6455078125,903.0,0.01519155502319336
2.6396484375,901.0,0.03448224067687988
2.6455078125,903.0,0.05502128601074219
2.642578125,902.0,0.07502388954162598
2.642578125,902.0,0.0943460464477539
2.642578125,902.0,0.11400055885314941
2.642578125,902.0,0.1340627670288086
2.642578125,902.0,0.15416550636291504
2.6455078125,903.0,0.17451214790344238
2.6396484375,901.0,0.19462180137634277
2.6455078125,903.0,0.21408438682556152
2.6396484375,901.0,0.2341148853302002
2.6455078125,903.0,0.2541358470916748
2.642578125,902.0,0.2741966247558594
2.642578125,902.0,0.29416918754577637
2.6455078125,903.0,0.3141505718231201
2.6455078125,903.0,0.33287501335144043
2.6396484375,901.0,0.3540046215057373
2.642578125,902.0,0.3741152286529541
2.6396484375,901.0,0.3925313949584961
2.6455078125,903.0,0.41300463676452637
2.6455078125,903.0,0.43259716033935547
2.6455078125,903.0,0.45266175270080566
2.6455078125,903.0,0.4733154773712158
2.6396484375,901.0,0.4932842254638672
2.642578125,902.0,0.5129635334014893
2.6455078125,903.0,0.5332632064819336
2.6455078125,903.0,0.5531752109527588
2.6396484375,901.0,0.5732681751251221
2.6455078125,903.0,0.5924596786499023
2.6396484375,901.0,0.6121377944946289
2.6396484375,901.0,0.6320228576660156
2.642578125,902.0,0.6526186466217041
2.642578125,902.0,0.6724593639373779
2.6455078125,903.0,0.6926083564758301
2.642578125,902.0,0.7128195762634277
2.6396484375,901.0,0.7325127124786377
2.6455078125,903.0,0.7517638206481934
2.6396484375,901.0,0.7716903686523438
2.642578125,902.0,0.7918031215667725
2.6455078125,903.0,0.8120088577270508
2.6455078125,903.0,0.8321797847747803
2.642578125,902.0,0.8520896434783936
2.642578125,902.0,0.8720178604125977
2.642578125,902.0,0.8915324211120605
2.6396484375,901.0,0.9117457866668701
2.625,896.0,0.9311435222625732
2.625,896.0,0.9515845775604248
2.625,896.0,0.9714734554290771
2.625,896.0,0.9910695552825928
2.6279296875,897.0,1.011760950088501
2.6279296875,897.0,1.0314054489135742
2.625,896.0,1.0506908893585205
2.61328125,892.0,1.0709412097930908
2.625,896.0,1.0914199352264404
2.625,896.0,1.1110661029815674
2.625,896.0,1.1311829090118408
2.625,896.0,1.1511127948760986
2.625,896.0,1.1706395149230957
2.625,896.0,1.1908066272735596
2.61328125,892.0,1.2109124660491943
2.625,896.0,1.230799913406372
2.61328125,892.0,1.2505989074707031
2.61328125,892.0,1.2702698707580566
2.61328125,892.0,1.289766550064087
2.625,896.0,1.3100545406341553
2.625,896.0,1.3298048973083496
2.61328125,892.0,1.350215196609497
2.625,896.0,1.3701472282409668
2.625,896.0,1.3900480270385742
2.61328125,892.0,1.4101760387420654
2.61328125,892.0,1.4297747611999512
2.61328125,892.0,1.4498624801635742
2.625,896.0,1.4693992137908936
2.61328125,892.0,1.4890508651733398
2.61328125,892.0,1.5096232891082764
2.625,896.0,1.5296947956085205
2.61328125,892.0,1.5494184494018555
2.61328125,892.0,1.5694468021392822
2.61328125,892.0,1.5889747142791748
2.625,896.0,1.6092720031738281
2.61328125,892.0,1.6282577514648438
2.61328125,892.0,1.6492700576782227
2.625,896.0,1.6684293746948242
2.6162109375,893.0,1.6890997886657715
2.625,896.0,1.7081892490386963
