Intensities,ADC Values,Time
31.0,319.0,0.030655860900878906
31.0,318.0,0.06331110000610352
30.0,317.0,0.0942230224609375
31.0,318.0,0.12740135192871094
31.0,318.0,0.16230082511901855
30.0,317.0,0.19410347938537598
31.0,319.0,0.22696495056152344
31.0,318.0,0.26285791397094727
31.0,318.0,0.2927377223968506
31.0,319.0,0.32624030113220215
31.0,318.0,0.3622398376464844
31.0,319.0,0.3963785171508789
31.0,318.0,0.43270349502563477
31.0,319.0,0.4659454822540283
30.0,317.0,0.5026371479034424
31.0,318.0,0.5353164672851562
30.0,315.0,0.5723679065704346
31.0,318.0,0.6053197383880615
30.0,316.0,0.6421816349029541
31.0,318.0,0.6751267910003662
30.0,316.0,0.7112119197845459
31.0,318.0,0.7448441982269287
30.0,316.0,0.7812957763671875
30.0,316.0,0.8112821578979492
31.0,320.0,0.843524694442749
30.0,315.0,0.8812499046325684
30.0,314.0,0.9112942218780518
31.0,318.0,0.9440932273864746
30.0,315.0,0.9799785614013672
30.0,315.0,1.011894702911377
31.0,318.0,1.0428440570831299
30.0,315.0,1.0803289413452148
30.0,316.0,1.1111688613891602
31.0,318.0,1.1431901454925537
30.0,316.0,1.1799240112304688
30.0,316.0,1.211012363433838
30.0,317.0,1.24288010597229
30.0,315.0,1.2788474559783936
30.0,316.0,1.310725450515747
30.0,317.0,1.3417105674743652
30.0,315.0,1.3793375492095947
30.0,317.0,1.4114038944244385
30.0,316.0,1.4419424533843994
30.0,315.0,1.477935552597046
30.0,317.0,1.5113437175750732
30.0,316.0,1.548450231552124
30.0,315.0,1.5804483890533447
30.0,315.0,1.6179583072662354
30.0,317.0,1.650378942489624
31.0,318.0,1.6877312660217285
31.0,318.0,1.720179796218872
30.0,315.0,1.7574195861816406
31.0,320.0,1.7898859977722168
30.0,312.0,1.8205604553222656
30.0,314.0,1.8568756580352783
30.0,311.0,1.8892910480499268
30.0,309.0,1.9204554557800293
30.0,317.0,1.9556705951690674
31.0,319.0,1.9893662929534912
30.0,316.0,2.0207021236419678
30.0,316.0,2.056028127670288
31.0,318.0,2.0880141258239746
31.0,321.0,2.1206154823303223
31.0,321.0,2.1555275917053223
31.0,324.0,2.1884963512420654
31.0,322.0,2.219656229019165
31.0,326.0,2.2550413608551025
31.0,324.0,2.2874836921691895
31.0,319.0,2.319973945617676
32.0,336.0,2.3539743423461914
34.0,354.0,2.3873982429504395
37.0,379.0,2.420475959777832
40.0,416.0,2.453615427017212
44.0,460.0,2.48769474029541
50.0,517.0,2.5195300579071045
54.0,558.0,2.5532898902893066
58.0,601.0,2.58829402923584
64.0,657.0,2.6192777156829834
72.0,737.0,2.6524603366851807
76.0,781.0,2.6888582706451416
79.0,816.0,2.719287395477295
80.0,828.0,2.7515361309051514
84.0,868.0,2.7885031700134277
86.0,884.0,2.819612741470337
90.0,925.0,2.850611448287964
95.0,973.0,2.8886163234710693
97.0,993.0,2.91912579536438
98.0,1005.0,2.959125518798828
99.0,1020.0,2.9991283416748047
99.0,1023.0,3.03826904296875
99.0,1023.0,3.0692756175994873
99.0,1023.0,3.10636568069458
99.0,1023.0,3.1394002437591553
99.0,1023.0,3.174286127090454
99.0,1023.0,3.2094712257385254
99.0,1023.0,3.242483615875244
99.0,1023.0,3.27944278717041
99.0,1023.0,3.3104465007781982
99.0,1023.0,3.3493754863739014
99.0,1023.0,3.389164447784424
99.0,1023.0,3.4282267093658447
99.0,1023.0,3.4591071605682373
99.0,1023.0,3.4963951110839844
99.0,1023.0,3.5286309719085693
99.0,1023.0,3.5643301010131836
98.0,1005.0,3.5989902019500732
95.0,976.0,3.6332571506500244
91.0,932.0,3.6689810752868652
86.0,881.0,3.702489137649536
82.0,839.0,3.7336528301239014
77.0,791.0,3.767904043197632
70.0,725.0,3.8018627166748047
62.0,644.0,3.8340611457824707
58.0,599.0,3.863760232925415
53.0,543.0,3.8988521099090576
48.0,492.0,3.929650068283081
42.0,434.0,3.9651198387145996
37.0,384.0,3.9949514865875244
33.0,341.0,4.02795934677124
28.0,296.0,4.060412168502808
24.0,252.0,4.096073865890503
20.0,205.0,4.127623081207275
14.0,150.0,4.16562294960022
13.0,137.0,4.197626113891602
13.0,134.0,4.236557245254517
13.0,133.0,4.266791343688965
12.0,132.0,4.297536611557007
13.0,133.0,4.335432291030884
12.0,132.0,4.36719012260437
12.0,132.0,4.39776873588562
13.0,134.0,4.435698747634888
12.0,132.0,4.466668367385864
12.0,132.0,4.497429609298706
13.0,133.0,4.536171197891235
13.0,133.0,4.566278696060181
12.0,131.0,4.597557306289673
13.0,134.0,4.634056329727173
12.0,132.0,4.665732383728027
13.0,133.0,4.698057651519775
13.0,137.0,4.734910726547241
13.0,136.0,4.765323877334595
13.0,136.0,4.79767632484436
13.0,137.0,4.83357310295105
0.0,131.0,4.867418050765991
0.0,133.0,4.904935598373413
0.0,133.0,4.936616897583008
0.0,134.0,4.974159240722656
0.0,133.0,5.0072572231292725
0.0,134.0,5.043455123901367
0.0,132.0,5.077237129211426
0.0,133.0,5.111637115478516
0.0,131.0,5.146734714508057
0.0,134.0,5.181822061538696
0.0,134.0,5.216426610946655
0.0,132.0,5.247150421142578
0.0,134.0,5.285579442977905
0.0,132.0,5.3160929679870605
12.0,132.0,5.355232238769531
12.0,132.0,5.386998176574707
13.0,139.0,5.422600984573364
14.0,147.0,5.453521013259888
