Voltage,ADC Buffer Value,Time
0.123046875,42.0,0.015368938446044922
1.271484375,434.0,0.029783964157104492
0.123046875,42.0,0.047341108322143555
1.271484375,434.0,0.06289911270141602
0.123046875,42.0,0.07891631126403809
1.265625,432.0,0.0939338207244873
0.123046875,42.0,0.11499500274658203
1.2685546875,433.0,0.12993264198303223
0.123046875,42.0,0.14798903465270996
1.271484375,434.0,0.163330078125
0.123046875,42.0,0.17836570739746094
1.265625,432.0,0.19414448738098145
0.123046875,42.0,0.21483635902404785
1.2685546875,433.0,0.22979116439819336
0.123046875,42.0,0.24820542335510254
1.271484375,434.0,0.2627995014190674
0.123046875,42.0,0.27847838401794434
1.265625,432.0,0.29361915588378906
0.123046875,42.0,0.3148658275604248
1.2685546875,433.0,0.32970643043518066
0.123046875,42.0,0.3479328155517578
1.271484375,434.0,0.3630034923553467
0.123046875,42.0,0.3840906620025635
1.2685546875,433.0,0.3991103172302246
0.123046875,42.0,0.41815781593322754
1.271484375,434.0,0.4330742359161377
0.123046875,42.0,0.45357799530029297
1.271484375,434.0,0.4685025215148926
0.123046875,42.0,0.487560510635376
1.2685546875,433.0,0.5031006336212158
0.123046875,42.0,0.5228354930877686
1.2685546875,433.0,0.5376148223876953
0.123046875,42.0,0.5567512512207031
1.265625,432.0,0.5719249248504639
0.123046875,42.0,0.592923641204834
1.265625,432.0,0.6079251766204834
0.123046875,42.0,0.6271741390228271
1.265625,432.0,0.6415338516235352
0.123046875,42.0,0.6572213172912598
1.259765625,430.0,0.6732683181762695
0.123046875,42.0,0.6928262710571289
1.2685546875,433.0,0.7068507671356201
0.123046875,42.0,0.7258486747741699
1.265625,432.0,0.7418553829193115
0.123046875,42.0,0.7573683261871338
1.259765625,430.0,0.772369384765625
0.123046875,42.0,0.7923681735992432
1.265625,432.0,0.8063702583312988
0.123046875,42.0,0.8263678550720215
1.265625,432.0,0.8413834571838379
0.123046875,42.0,0.8569025993347168
1.259765625,430.0,0.8719439506530762
0.123046875,42.0,0.891822099685669
1.2685546875,433.0,0.9065594673156738
0.123046875,42.0,0.925969123840332
1.265625,432.0,0.9410450458526611
0.123046875,42.0,0.9576101303100586
1.265625,432.0,0.9721157550811768
0.123046875,42.0,0.9909822940826416
1.265625,432.0,1.0059759616851807
0.123046875,42.0,1.0251271724700928
1.265625,432.0,1.0397248268127441
0.123046875,42.0,1.0576305389404297
1.265625,432.0,1.071805477142334
0.123046875,42.0,1.0911211967468262
1.265625,432.0,1.1061151027679443
0.123046875,42.0,1.124143362045288
1.265625,432.0,1.1402010917663574
0.123046875,42.0,1.1574466228485107
1.2626953125,431.0,1.172489881515503
0.123046875,42.0,1.190490961074829
